City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,kingston,17.997,-76.7936,25.53000000000003,94,75,2.57,JM,1722617337
160,mahdia,35.5047,11.0622,38.97000000000003,44,0,8.36,TN,1722617312
161,ugoofaaru,5.6667,73.0,28.680000000000007,75,100,3.9,MV,1722617601
162,quang ngai,15.1167,108.8,24.83000000000004,89,94,2.03,VN,1722617602
163,mont-dore,-22.2833,166.5833,19.439999999999998,99,39,1.73,NC,1722617603
164,cockburn town,21.4612,-71.1419,28.24000000000001,83,91,8.8,TC,1722617604
165,hawaiian paradise park,19.5933,-154.9731,22.720000000000027,99,100,2.57,US,1722617606
166,san patricio,28.017,-97.5169,33.25,53,55,3.14,US,1722617607
167,fort st. john,56.2499,-120.8529,15.939999999999998,63,75,1.54,CA,1722617608
168,hermanus,-34.4187,19.2345,10.450000000000045,77,73,3.4,ZA,1722617609
169,madang,-5.2246,145.7966,25.120000000000005,91,35,2.26,PG,1722617610
170,college,64.8569,-147.8028,10.600000000000023,88,100,2.57,US,1722617611
171,hasaki,35.7333,140.8333,24.220000000000027,84,7,1.33,JP,1722617614
172,mata-utu,-13.2816,-176.1745,26.910000000000025,74,98,5.98,WF,1722617615
173,punta del este,-34.9667,-54.95,27.060000000000002,50,75,7.72,UY,1722617616
174,aasiaat,68.7098,-52.8699,2.5500000000000114,89,77,0.64,GL,1722617617
175,dakhla,23.6848,-15.958,24.010000000000048,73,15,13.89,EH,1722617618
176,zhengjiatun,43.5064,123.5064,20.920000000000016,91,14,2.2,CN,1722617620
177,kodinsk,58.6881,99.1844,13.860000000000014,95,100,1.5,RU,1722617621
178,nar'yan-mar,67.6713,53.087,12.220000000000027,81,12,6.7,RU,1722617596
179,prado,-17.3411,-39.2208,24.52000000000004,77,1,4.17,BR,1722617623
180,santa terezinha,-29.9002,-50.0904,17.960000000000036,83,5,8.37,BR,1722617624
181,cidreira,-30.1811,-50.2056,19.0,78,5,7.36,BR,1722617344
182,puno,-15.8333,-70.0333,12.760000000000048,19,0,1.52,PE,1722617627
183,zouerate,22.7187,-12.4521,44.110000000000014,7,0,0.33,MR,1722617628
184,egilsstadir,65.2653,-14.3948,10.950000000000045,93,100,5.66,IS,1722617629
185,montrose,38.4166,-108.2673,22.629999999999995,22,95,2.15,US,1722617630
186,utrik,11.2278,169.8474,28.24000000000001,76,14,2.59,MH,1722617361
187,saint-pierre,-21.3393,55.4781,20.82000000000005,64,20,3.09,RE,1722617632
188,alotau,-10.3069,150.4462,22.170000000000016,95,100,2.06,PG,1722617634
189,phan rang-thap cham,11.5667,108.9833,25.32000000000005,94,20,1.8,VN,1722617635
190,st. john's,47.5649,-52.7093,25.660000000000025,80,75,9.77,CA,1722617636
191,atafu village,-8.5421,-172.5159,28.07000000000005,74,31,6.75,TK,1722617637
192,oranjemund,-28.55,16.4333,12.970000000000027,73,14,4.09,,1722617638
193,xichang,27.8964,102.2634,20.090000000000032,84,75,0.78,CN,1722617640
194,puerto san jose,13.9256,-90.8244,28.78000000000003,80,99,2.63,GT,1722617641
195,portland,45.5234,-122.6762,25.870000000000005,67,40,2.06,US,1722617622
196,yuzhno-kurilsk,44.0306,145.8556,15.870000000000005,92,99,2.09,RU,1722617643
197,guangyuan,32.442,105.823,24.689999999999998,91,100,1.08,CN,1722617644
198,prince rupert,54.3161,-130.3201,14.830000000000041,88,0,5.66,CA,1722617645
199,vrontados,38.4089,26.1328,29.920000000000016,48,0,0.0,GR,1722617647
200,madala,9.1044,7.2133,24.220000000000027,92,98,1.07,NG,1722617648
201,kapa'a,22.0752,-159.319,24.180000000000007,84,20,3.09,US,1722617649
202,gaspar hernandez,19.6289,-70.2811,32.03000000000003,62,23,6.04,DO,1722617650
203,tiksi,71.6872,128.8694,4.740000000000009,68,83,1.99,RU,1722617651
204,gaillac,43.9016,1.8969,25.5,52,42,6.28,FR,1722617652
